date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:41	27925/27925	---M--	200	added ('OK')	image/jpeg	etag:%2263726863-6d15%22	https://ui-themez.smartinnovates.net/items/zain/img/portfolio/7.jpg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/portfolio/7.jpg	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:41	40503/40503	---M--	200	added ('OK')	image/jpeg	etag:%2263726851-9e37%22	https://ui-themez.smartinnovates.net/items/zain/img/blog/03.jpg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/blog/03.jpg	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:42	205361/205361	---M--	200	added ('OK')	image/jpeg	etag:%2263726850-32231%22	https://ui-themez.smartinnovates.net/items/zain/img/blog/01.jpg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/blog/01.jpg	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:42	11119/11119	---M--	200	added ('OK')	image/png	etag:%226372684d-2b6f%22	https://ui-themez.smartinnovates.net/items/zain/img/map.png	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/map.png	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:42	139462/139462	---M--	200	added ('OK')	image/jpeg	etag:%2263726851-220c6%22	https://ui-themez.smartinnovates.net/items/zain/img/blog/02.jpg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/img/blog/02.jpg	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:42	86341/86341	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263726868-15145%22	https://ui-themez.smartinnovates.net/items/zain/js/jquery-3.0.0.min.js	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/js/jquery-3.0.0.min.js	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:43	7083/7083	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263726868-1bab%22	https://ui-themez.smartinnovates.net/items/zain/js/jquery-migrate-3.0.0.min.js	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/js/jquery-migrate-3.0.0.min.js	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:43	19188/19188	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263726869-4af4%22	https://ui-themez.smartinnovates.net/items/zain/js/popper.min.js	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/js/popper.min.js	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:43	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263726867-bf30%22	https://ui-themez.smartinnovates.net/items/zain/js/bootstrap.min.js	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/js/bootstrap.min.js	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:44	1418/1418	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263726869-58a%22	https://ui-themez.smartinnovates.net/items/zain/js/scrollIt.min.js	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/js/scrollIt.min.js	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:44	5532/5532	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263726866-159c%22	https://ui-themez.smartinnovates.net/items/zain/js/animated.headline.js	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/js/animated.headline.js	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:44	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263726868-4ef8%22	https://ui-themez.smartinnovates.net/items/zain/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/js/jquery.magnific-popup.min.js	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:44	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263726868-3135%22	https://ui-themez.smartinnovates.net/items/zain/js/jquery.stellar.min.js	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/js/jquery.stellar.min.js	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:45	35445/35445	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263726867-8a75%22	https://ui-themez.smartinnovates.net/items/zain/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/js/isotope.pkgd.min.js	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:45	11730/11730	---MCZ	200	added ('OK')	application/javascript	etag:W/%226372686a-2dd2%22	https://ui-themez.smartinnovates.net/items/zain/js/validator.js	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/js/validator.js	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:45	4743/4743	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263726869-1287%22	https://ui-themez.smartinnovates.net/items/zain/js/scripts.js	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/js/scripts.js	(from https://ui-themez.smartinnovates.net/items/zain/index1.html)
13:53:45	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%226372682d-235ed%22	https://ui-themez.smartinnovates.net/items/zain/css/plugins/bootstrap.min.css	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/css/plugins/bootstrap.min.css	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins.css)
13:53:46	16952/16952	---MCZ	200	added ('OK')	text/css	etag:W/%226372682d-4238%22	https://ui-themez.smartinnovates.net/items/zain/css/plugins/animate.min.css	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/css/plugins/animate.min.css	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins.css)
13:53:46	108722/108722	---MCZ	200	added ('OK')	text/css	etag:W/%226372682f-1a8b2%22	https://ui-themez.smartinnovates.net/items/zain/css/plugins/icofont.css	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/css/plugins/icofont.css	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins.css)
13:53:46	34734/34734	---MCZ	200	added ('OK')	text/css	etag:W/%226372682e-87ae%22	https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins.css)
13:53:46	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%226372682f-1b27%22	https://ui-themez.smartinnovates.net/items/zain/css/plugins/magnific-popup.css	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/css/plugins/magnific-popup.css	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins.css)
13:53:47	13937/13937	---MCZ	200	added ('OK')	text/css	etag:W/%226372682e-3671%22	https://ui-themez.smartinnovates.net/items/zain/css/plugins/helper.css	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/css/plugins/helper.css	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins.css)
13:53:48	1018784/1018784	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263726847-f8ba0%22	https://ui-themez.smartinnovates.net/items/zain/fonts/icofont.eot?v=1.0.0-beta	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/icofont7858.eot	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/icofont.css)
13:53:49	41855/41855	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Mar%202025%2010:53:48%20GMT	https://ui-themez.smartinnovates.net/items/zain/fonts/icofont.svg?v=1.0.0-beta	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/icofont.257858.delayed	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/icofont.css)
13:53:49	98620/98620	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263726833-1813c%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400.eot	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:50	98620/98620	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263726833-1813c%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400d41d.eot	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:50	54420/54420	---M--	200	added ('OK')	application/font-woff2	etag:%2263726834-d494%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400.woff2	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:50	63712/63712	---M--	200	added ('OK')	application/font-woff	etag:%2263726833-f8e0%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400.woff	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:50	98384/98384	---M--	200	added ('OK')	application/octet-stream	etag:%2263726832-18050%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400.ttf	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:50	1018620/1018620	---M--	200	added ('OK')	application/octet-stream	etag:%2263726844-f8afc%22	https://ui-themez.smartinnovates.net/items/zain/fonts/icofont.ttf?v=1.0.0-beta	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/icofont7858.ttf	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/icofont.css)
13:53:51	41471/41471	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Mar%202025%2010:53:50%20GMT	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-brands-400.svg	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:51	31156/31156	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263726834-79b4%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400.eot	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:51	31156/31156	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263726834-79b4%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400d41d.eot	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:51	12220/12220	---M--	200	added ('OK')	application/font-woff2	etag:%2263726835-2fbc%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400.woff2	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:51	14712/14712	---M--	200	added ('OK')	application/font-woff	etag:%2263726835-3978%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400.woff	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:52	30928/30928	---M--	200	added ('OK')	application/octet-stream	etag:%2263726834-78d0%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400.ttf	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:52	41856/41856	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Mar%202025%2010:53:52%20GMT	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-regular-400.svg	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:52	102152/102152	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263726836-18f08%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900.eot	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:53	102152/102152	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263726836-18f08%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900d41d.eot	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:53	38784/38784	---M--	200	added ('OK')	application/font-woff2	etag:%2263726837-9780%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900.woff2	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:53	48704/48704	---M--	200	added ('OK')	application/font-woff	etag:%2263726837-be40%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900.woff	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:53	101932/101932	---M--	200	added ('OK')	application/octet-stream	etag:%2263726836-18e2c%22	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900.ttf	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:54	41471/41471	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Mar%202025%2010:53:53%20GMT	https://ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900.svg	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/fa-solid-900.svg	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/fontawesome-all.min.css)
13:53:55	629908/629908	---M--	200	added ('OK')	application/font-woff	etag:%226372684a-99c94%22	https://ui-themez.smartinnovates.net/items/zain/fonts/icofont.woff?v=1.0.0-beta	C:/My%20Web%20Sites/portfolio/ui-themez.smartinnovates.net/items/zain/fonts/icofont7858.woff	(from https://ui-themez.smartinnovates.net/items/zain/css/plugins/icofont.css)
